contract_id,attachment_count,source_pdfs,source_txts,merged_txt,attachment_errors
11818013,1,11818013.pdf,11818013.txt,11818013.txt,
11818015,1,11818015.pdf,11818015.txt,11818015.txt,
11818017,1,11818017.pdf,11818017.txt,11818017.txt,
11818019,1,11818019.pdf,11818019.txt,11818019.txt,
11818022,1,11818022.pdf,11818022.txt,11818022.txt,
11818024,2,11818024_1.pdf;11818024_2.pdf,11818024_1.txt;11818024_2.txt,11818024.txt,
11818025,2,11818025_1.pdf;11818025_2.pdf,11818025_1.txt;11818025_2.txt,11818025.txt,
11818027,1,11818027.pdf,11818027.txt,11818027.txt,
11818028,2,11818028_1.pdf;11818028_2.pdf,11818028_1.txt;11818028_2.txt,11818028.txt,
11818036,2,11818036_1.pdf;11818036_2.pdf,11818036_1.txt;11818036_2.txt,11818036.txt,
11818038,6,11818038_1.pdf;11818038_2.pdf;11818038_3.pdf;11818038_4.pdf;11818038_5.pdf;11818038_6.pdf,11818038_1.txt;11818038_2.txt;11818038_3.txt;11818038_4.txt;11818038_5.txt;11818038_6.txt,11818038.txt,
11818041,1,11818041.pdf,11818041.txt,11818041.txt,
11818043,1,11818043.pdf,11818043.txt,11818043.txt,
11818045,1,11818045.pdf,11818045.txt,11818045.txt,
11818047,2,11818047_1.pdf;11818047_2.pdf,11818047_1.txt;11818047_2.txt,11818047.txt,
11818052,2,11818052_1.pdf;11818052_2.pdf,11818052_1.txt;11818052_2.txt,11818052.txt,
11818054,1,11818054.pdf,11818054.txt,11818054.txt,
11818058,1,11818058.pdf,11818058.txt,11818058.txt,
11818065,2,11818065_1.pdf;11818065_2.pdf,11818065_1.txt;11818065_2.txt,11818065.txt,
11818066,1,11818066.pdf,11818066.txt,11818066.txt,
11818068,1,11818068.pdf,11818068.txt,11818068.txt,
11818070,1,11818070.pdf,11818070.txt,11818070.txt,
11818072,1,11818072.pdf,11818072.txt,11818072.txt,
11818074,1,11818074.pdf,11818074.txt,11818074.txt,
11818076,2,11818076_1.pdf;11818076_2.pdf,11818076_1.txt;11818076_2.txt,11818076.txt,
11818081,1,11818081.pdf,11818081.txt,11818081.txt,
11818082,2,11818082_1.pdf;11818082_2.pdf,11818082_1.txt;11818082_2.txt,11818082.txt,
11818090,2,11818090_1.pdf;11818090_2.pdf,11818090_1.txt;11818090_2.txt,11818090.txt,
11818091,2,11818091_1.pdf;11818091_2.pdf,11818091_1.txt;11818091_2.txt,11818091.txt,
11818093,1,11818093.pdf,11818093.txt,11818093.txt,
11818095,1,11818095.pdf,11818095.txt,11818095.txt,
11818097,1,11818097.pdf,11818097.txt,11818097.txt,
11818099,2,11818099_1.pdf;11818099_2.pdf,11818099_1.txt;11818099_2.txt,11818099.txt,
11818102,4,11818102_1.pdf;11818102_2.pdf;11818102_3.pdf;11818102_4.pdf,11818102_1.txt;11818102_2.txt;11818102_3.txt;11818102_4.txt,11818102.txt,
11818108,1,11818108_1.pdf,11818108_1.txt,11818108.txt,
11818110,2,11818110_1.pdf;11818110_2.pdf,11818110_1.txt;11818110_2.txt,11818110.txt,
11818112,2,11818112_1.pdf;11818112_2.pdf,11818112_1.txt;11818112_2.txt,11818112.txt,
11818116,1,11818116.pdf,11818116.txt,11818116.txt,
11818120,1,11818120.pdf,11818120.txt,11818120.txt,
11818122,2,11818122_1.pdf;11818122_2.pdf,11818122_1.txt;11818122_2.txt,11818122.txt,
11818126,1,11818126.pdf,11818126.txt,11818126.txt,
11818128,1,11818128.pdf,11818128.txt,11818128.txt,
11818129,1,11818129.pdf,11818129.txt,11818129.txt,
11818133,1,11818133.pdf,11818133.txt,11818133.txt,
11818134,1,11818134.pdf,11818134.txt,11818134.txt,
11818136,1,11818136.pdf,11818136.txt,11818136.txt,
11818138,1,11818138.pdf,11818138.txt,11818138.txt,
11818141,1,11818141.pdf,11818141.txt,11818141.txt,
11818144,1,11818144.pdf,11818144.txt,11818144.txt,
11818148,2,11818148_1.pdf;11818148_2.pdf,11818148_1.txt;11818148_2.txt,11818148.txt,
11818149,2,11818149_1.pdf;11818149_2.pdf,11818149_1.txt;11818149_2.txt,11818149.txt,
11818150,1,11818150.pdf,11818150.txt,11818150.txt,
11818151,3,11818151_1.pdf;11818151_2.pdf;11818151_3.pdf,11818151_1.txt;11818151_2.txt;11818151_3.txt,11818151.txt,
11818153,1,11818153.pdf,11818153.txt,11818153.txt,
11818157,1,11818157.pdf,11818157.txt,11818157.txt,
11818158,1,11818158.pdf,11818158.txt,11818158.txt,
11818161,2,11818161_2.pdf;11818161_3.pdf,11818161_2.txt;11818161_3.txt,11818161.txt,
11818164,2,11818164_1.pdf;11818164_2.pdf,11818164_1.txt;11818164_2.txt,11818164.txt,
11818165,1,11818165.pdf,11818165.txt,11818165.txt,
11818166,1,11818166.pdf,11818166.txt,11818166.txt,
11818177,1,11818177.pdf,11818177.txt,11818177.txt,
11818179,1,11818179.pdf,11818179.txt,11818179.txt,
11818183,1,11818183.pdf,11818183.txt,11818183.txt,
11818185,1,11818185.pdf,11818185.txt,11818185.txt,
11818188,1,11818188.pdf,11818188.txt,11818188.txt,
11818192,1,11818192.pdf,11818192.txt,11818192.txt,
